ID,Price,Levy,Engine volume,Mileage(km),Cylinders,Airbags,Fuel type_CNG,Fuel type_Diesel,Fuel type_Hybrid,Fuel type_Hydrogen,Fuel type_LPG,Fuel type_Petrol,Fuel type_Plug-in Hybrid
45654403.0,13328.0,1399.0,3.5,186005.0,6.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45774419.0,8467.0,0.0,1.3,200000.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45769185.0,3607.0,862.0,2.5,168966.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45809263.0,11726.0,446.0,1.3,91901.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45656768.0,1803.0,761.0,1.8,258909.0,4.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45816158.0,549.0,751.0,2.4,216118.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45641395.0,1098.0,394.0,2.5,398069.0,4.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45756839.0,26657.0,0.0,3.5,128500.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45621750.0,941.0,1053.0,3.5,184467.0,6.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45815568.0,3000.0,0.0,1.6,350000.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45661288.0,1019.0,1055.0,3.5,138038.0,6.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45772281.0,7683.0,810.0,1.8,121840.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45797221.0,28382.0,810.0,1.8,54317.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45772104.0,549.0,2386.0,3.3,295059.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45653306.0,941.0,1850.0,3.5,364523.0,6.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45801686.0,18826.0,531.0,1.6,112645.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
