Store,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment
1.0,42.31,2.572,6707.610000000001,27736.015999999996,118.994,2122.916,6225.472,211.0963582,8.106
1.0,38.51,2.548,6971.704,30573.512,167.416,2288.8779999999997,6408.455999999999,211.2421698,8.106
1.0,39.93,2.514,6971.704,27736.016000000003,167.416,2288.8779999999997,6408.455999999999,211.2891429,8.106
1.0,46.63,2.561,4795.51,45.226,1107.37,2056.344,14470.621999999998,211.3196429,8.106
1.0,46.5,2.625,5427.782000000001,7527.988,1004.6619999999999,2529.148,15343.529999999999,211.3501429,8.106
1.0,57.79,2.667,6060.772,5485.45,26798.396,1996.122,9744.382000000001,211.3806429,8.106
1.0,54.58,2.72,2021.2060000000001,447.592,15558.522,650.228,1166.05,211.215635,8.106
1.0,51.45,2.732,4310.7880000000005,80.38799999999999,499.62399999999997,1519.1820000000002,7715.332,211.0180424,8.106
1.0,62.27,2.719,9901.658,243.07600000000002,115.24600000000001,4210.782,12007.280000000002,210.8204499,7.808
1.0,65.86,2.77,8224.008,165.68800000000002,117.546,3340.504,11047.813999999998,210.6228574,7.808
1.0,66.32,2.808,8700.15,181.288,75.568,2706.046,10659.826000000001,210.4887,7.808
1.0,64.84,2.795,8224.008,165.68800000000002,117.546,3340.5039999999995,11047.814000000002,210.4391228,7.808
1.0,67.41,2.78,7085.522,41.396,59.29600000000001,1948.982,2489.728,210.3895456,7.808
1.0,72.55,2.835,6576.554000000001,222.83599999999996,40.73,1390.0179999999998,2981.4280000000003,210.3399684,7.808
1.0,74.78,2.854,6952.075999999999,464.93600000000004,725.274,2822.7079999999996,4045.3300000000004,210.3374261,7.808
1.0,76.44,2.826,6748.3,464.42600000000004,819.9440000000001,2767.4579999999996,4249.096,210.6170934,7.808
1.0,80.44,2.759,7692.5199999999995,1134.0440000000003,634.516,5023.342000000001,2769.26,210.8967606,7.808
1.0,80.69,2.705,7692.5199999999995,1134.0440000000003,634.516,5023.342000000001,2769.26,211.1764278,7.808
1.0,80.43,2.668,9205.338,1097.6100000000001,708.662,6500.874000000001,3128.982,211.4560951,7.808
1.0,84.11,2.637,5685.586,1294.154,80.128,2803.54,4568.14,211.4537719,7.808
1.0,84.34,2.653,5685.586,1294.154,80.128,2803.5400000000004,4568.14,211.3386526,7.808
1.0,80.91,2.669,7692.5199999999995,1134.044,634.516,5023.342,2769.26,211.2235333,7.787
1.0,80.48,2.642,7692.519999999999,1134.0440000000003,634.516,5023.342000000001,2769.26,211.108414,7.787
1.0,83.15,2.623,4139.714,771.9699999999999,127.15799999999999,2379.736,2975.9260000000004,211.1003854,7.787
1.0,83.36,2.608,4139.714,771.97,127.15799999999999,2379.736,2975.9260000000004,211.2351443,7.787
1.0,81.84,2.64,6441.298,698.5780000000001,316.85600000000005,3596.1800000000003,3195.366,211.3699032,7.787
1.0,87.16,2.627,3946.8,1009.784,27.504,1609.7179999999998,3620.264,211.5046621,7.787
1.0,87.0,2.692,3946.8000000000006,1009.784,27.504,1609.7179999999998,3620.264,211.6394211,7.787
